sample	unit	run_accession	platform	library_layout	fq1	fq2
C343	1	ERR9791763	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791763_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791763_2.fastq.gz
C188	1	ERR9791750	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791750_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791750_2.fastq.gz
C275	1	ERR9791760	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791760_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791760_2.fastq.gz
C346	1	ERR9791766	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791766_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791766_2.fastq.gz
C191	1	ERR9791753	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791753_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791753_2.fastq.gz
C359	1	ERR9791772	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791772_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791772_2.fastq.gz
C354	1	ERR9791767	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791767_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791767_2.fastq.gz
C272	1	ERR9791759	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791759_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791759_2.fastq.gz
C355	1	ERR9791768	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791768_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791768_2.fastq.gz
C341	1	ERR9791761	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791761_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791761_2.fastq.gz
C360	1	ERR9791773	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791773_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791773_2.fastq.gz
C357	1	ERR9791770	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791770_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791770_2.fastq.gz
C344	1	ERR9791764	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791764_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791764_2.fastq.gz
C363	1	ERR9791776	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791776_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791776_2.fastq.gz
C345	1	ERR9791765	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791765_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791765_2.fastq.gz
C358	1	ERR9791771	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791771_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791771_2.fastq.gz
C356	1	ERR9791769	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791769_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791769_2.fastq.gz
C361	1	ERR9791774	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791774_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791774_2.fastq.gz
C364	1	ERR9791777	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791777_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791777_2.fastq.gz
C365	1	ERR9791778	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791778_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791778_2.fastq.gz
C362	1	ERR9791775	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791775_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791775_2.fastq.gz
C366	1	ERR9791779	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791779_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791779_2.fastq.gz
C369	1	ERR9791782	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791782_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791782_2.fastq.gz
C367	1	ERR9791780	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791780_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791780_2.fastq.gz
C368	1	ERR9791781	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791781_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791781_2.fastq.gz
