sample	unit	run_accession	platform	library_layout	fq1	fq2
C93	1	ERR9791661	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791661_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791661_2.fastq.gz
C105	1	ERR9791668	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791668_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791668_2.fastq.gz
C91	1	ERR9791659	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791659_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791659_2.fastq.gz
C95	1	ERR9791662	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791662_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791662_2.fastq.gz
C106	1	ERR9791669	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791669_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791669_2.fastq.gz
C92	1	ERR9791660	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791660_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791660_2.fastq.gz
C103	1	ERR9791666	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791666_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791666_2.fastq.gz
C111	1	ERR9791674	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791674_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791674_2.fastq.gz
C96	1	ERR9791663	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791663_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791663_2.fastq.gz
C104	1	ERR9791667	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791667_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791667_2.fastq.gz
C113	1	ERR9791676	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791676_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791676_2.fastq.gz
C99	1	ERR9791664	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791664_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791664_2.fastq.gz
C117	1	ERR9791679	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791679_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791679_2.fastq.gz
C107	1	ERR9791670	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791670_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791670_2.fastq.gz
C100	1	ERR9791665	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791665_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791665_2.fastq.gz
C121	1	ERR9791683	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791683_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791683_2.fastq.gz
C109	1	ERR9791672	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791672_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791672_2.fastq.gz
C108	1	ERR9791671	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791671_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791671_2.fastq.gz
C124	1	ERR9791686	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791686_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791686_2.fastq.gz
C110	1	ERR9791673	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791673_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791673_2.fastq.gz
C112	1	ERR9791675	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791675_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791675_2.fastq.gz
C126	1	ERR9791688	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791688_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791688_2.fastq.gz
C114	1	ERR9791677	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791677_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791677_2.fastq.gz
C118	1	ERR9791680	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791680_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791680_2.fastq.gz
C127	1	ERR9791689	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791689_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791689_2.fastq.gz
C115	1	ERR9791678	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791678_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791678_2.fastq.gz
C128	1	ERR9791690	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791690_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791690_2.fastq.gz
C120	1	ERR9791682	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791682_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791682_2.fastq.gz
C119	1	ERR9791681	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791681_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791681_2.fastq.gz
C133	1	ERR9791695	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791695_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791695_2.fastq.gz
C122	1	ERR9791684	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791684_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791684_2.fastq.gz
C123	1	ERR9791685	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791685_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791685_2.fastq.gz
C135	1	ERR9791697	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791697_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791697_2.fastq.gz
C130	1	ERR9791692	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791692_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791692_2.fastq.gz
C125	1	ERR9791687	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791687_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791687_2.fastq.gz
C137	1	ERR9791699	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791699_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791699_2.fastq.gz
C132	1	ERR9791694	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791694_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791694_2.fastq.gz
C129	1	ERR9791691	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791691_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791691_2.fastq.gz
C138	1	ERR9791700	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791700_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791700_2.fastq.gz
